;ENGLISH;POLISH;RUSSIAN;FRENCH;GERMAN;SPANISH;BRASILIAN;CHINESE_SP;JAPANESE;KOREAN
gui/menu/research/name/mech_weapons_sniper_rifle_lvl_2;90mm Cannon - Advanced;;;;90-mm-Kanone – Fortgeschritten;;;90毫米加农炮 - 高级;;
gui/menu/research/name/mech_weapons_sniper_rifle_lvl_3;90mm Cannon - Superior;;;;90-mm-Kanone – Überlegen;;;90毫米加农炮 - 卓越;;
gui/menu/research/name/mech_weapons_sniper_rifle_lvl_4;90mm Cannon - Extreme;;;;90-mm-Kanone – Extrem;;;90毫米加农炮 - 极致;;
gui/menu/research/name/metallurgy;Metallurgy;;;;Metallurgie;;;冶金学;;
gui/menu/research/name/metallurgy_lvl_2;Advanced Metallurgy;;;;Fortgeschrittene Metallurgie;;;高级冶金学;;
gui/menu/research/name/metallurgy_lvl_3;Optimized Metallurgy;;;;Optimierte Metallurgie;;;优化冶金学;;
gui/menu/research/name/mini_miner;Deployable Miner;;;;Einsetzbarer Bergmann;;;可部署采矿机;;
gui/menu/research/name/mini_miner_lvl_2;Deployable Miner 2;;;;Einsetzbarer Bergmann 2;;;可部署采矿机2级;;
gui/menu/research/name/mini_miner_lvl_3;Deployable Miner 3;;;;Einsetzbarer Bergmann 3;;;可部署采矿机3级;;
gui/menu/research/name/mini_miner_lvl_4;Deployable Miner 4;;;;Einsetzbarer Bergmann 4;;;可部署采矿机4级;;
gui/menu/research/name/moisture_trap;Moisture Trap;;;;Feuchtigkeitsfalle;;;湿气捕获器;;
gui/menu/research/name/moisture_trap_lvl_2;Improved Moisture Trap;;;;Verbesserte Feuchtigkeitsfalle;;;改进型湿气捕获器;;
gui/menu/research/name/morphium_factory_lvl_1;Morphing Flux Capacitor;;;;Morphing-Flux-Kondensator;;;;;
gui/menu/research/name/morphium_factory_lvl_2;Advanced Morphing Flux Capacitor;;;;Fortgeschrittener Morphing-Flux-Kondensator;;;;;
gui/menu/research/name/morphium_factory_lvl_3;Optimized Morphing Flux Capacitor;;;;Optimierter Morphing-Flux-Kondensator;;;;;
gui/menu/research/name/mycelium_processing;Mycelium Processing;;;;Myzelverarbeitung;;;菌丝体加工;;
gui/menu/research/name/mycelium_processing_lvl_2;Advanced Mycelium Processing;;;;Fortgeschrittene Myzelverarbeitung;;;高级菌丝体加工;;
gui/menu/research/name/mycelium_processing_lvl_3;Optimized Mycelium Processing;;;;Optimierte Myzelverarbeitung;;;优化菌丝体加工;;
gui/menu/research/name/nitrification_site_lvl_2;Direct Nitrification;;;;Direkte Nitrifikation;;;直接硝化法;;
gui/menu/research/name/nitrification_site_lvl_3;Improved Direct Nitrification;;;;Verbesserte direkte Nitrifikation;;;改进型直接硝化法;;
gui/menu/research/name/nitrogen_chemistry;Nitrogen Chemistry;;;;Stickstoffchemie;;;氮化学;;
gui/menu/research/name/nitrogen_chemistry_lvl_2;Nitrogen Chemistry 2;;;;Stickstoffchemie 2;;;氮化学2级;;
gui/menu/research/name/nitrogen_chemistry_lvl_3;Nitrogen Chemistry 3;;;;Stickstoffchemie 3;;;氮化学3级;;
gui/menu/research/name/offshore_wind_lvl_1;Offshore Wind Power;;;;Offshore-Windkraft;;;海上风力发电;;
gui/menu/research/name/offshore_wind_lvl_2;Offshore Wind Power 2;;;;Offshore-Windkraft 2;;;海上风力发电2;;
gui/menu/research/name/ore_processing_lvl_1;Basic Ore Processing;;;;Grundlegende Erzverarbeitung;;;基础矿石加工;;
gui/menu/research/name/ore_processing_lvl_2;Advanced Ore Processing;;;;Fortgeschrittene Erzaufbereitung;;;高级矿石加工;;
gui/menu/research/name/ore_processing_lvl_3;Optimal Ore Processing;;;;Optimierte Erzaufbereitung;;;最优矿石加工;;
gui/menu/research/name/outposts_lvl_1;Outpost Expansion;;;;Ausbau der Außenposten;;;前哨扩容;;
gui/menu/research/name/outposts_lvl_2;Outpost Expansion 2;;;;Ausbau der Außenposten 2;;;前哨扩容2级;;
gui/menu/research/name/outposts_lvl_3;Outpost Expansion 3;;;;Ausbau der Außenposten 3;;;前哨扩容3级;;
gui/menu/research/name/outposts_lvl_4;Outpost Expansion 4;;;;Ausbau der Außenposten 4;;;前哨扩容4级;;
gui/menu/research/name/outposts_lvl_5;Outpost Expansion 5;;;;Ausbau der Außenposten 5;;;前哨扩容5级;;
gui/menu/research/name/petroleum_processing;Petrochemistry;;;;Petrochemie;;;石油化学;;
gui/menu/research/name/petroleum_processing_lvl_2;Advanced Petrochemistry;;;;Fortgeschrittene Petrochemie;;;高级石油化学;;
gui/menu/research/name/planet_defense;Orbital Defense;;;;Orbitalverteidigung;;;轨道防御;;
gui/menu/research/name/planet_defense_lvl_2;Advanced Orbital Defense;;;;Fortgeschrittene Orbitalverteidigung;;;高级轨道防御;;
gui/menu/research/name/planet_defense_lvl_3;Optimized Orbital Defense;;;;Optimierte Orbitalverteidigung;;;优化轨道防御;;
gui/menu/research/name/plasma_physics;Plasma Physics;;;;Plasmaphysik;;;等离子体物理学;;
gui/menu/research/name/plasma_physics_lvl_2;Advanced Plasma Physics;;;;Fortgeschrittene Plasmaphysik;;;高等等离子体物理学;;
gui/menu/research/name/plasma_physics_lvl_3;Plasma Physics Optimization;;;;Optimierung der Plasmaphysik;;;等离子体物理学优化;;
gui/menu/research/name/pumps_lvl_1;Basic Pumps;;;;;;;;;
gui/menu/research/name/pumps_lvl_2;Powered Pumps;;;;;;;;;
gui/menu/research/name/pumps_lvl_3;High Yield Pumps;;;;;;;;;
gui/menu/research/name/rare_element_mining_lvl1;Deep Ore Mining;;;;Tiefbaubergbau;;;深层矿石开采;;
gui/menu/research/name/rare_element_mining_lvl2;Deep Ore Mining 2;;;;Tiefbaubergbau 2;;;深层矿石开采2级;;
gui/menu/research/name/rare_element_mining_lvl3;Deep Ore Mining 3;;;;Tiefbaubergbau 3;;;深层矿石开采3级;;
gui/menu/research/name/rare_metals_storage;Rare Metals Storage;;;;Lager für seltene Metalle;;;稀有金属存储;;
gui/menu/research/name/reactive_substances;Reactive Substances;;;;Reaktive Substanzen;;;反应性物质;;
gui/menu/research/name/reactive_substances_lvl_2;Reactive Substances 2;;;;Reaktive Substanzen 2;;;反应性物质2级;;
gui/menu/research/name/reactive_substances_lvl_3;Reactive Substances 3;;;;Reaktive Substanzen 3;;;反应性物质3级;;
gui/menu/research/name/regenerating_extractor;Mycelium Extractor;;;;Myzel-Extraktor;;;菌丝体提取器;;
gui/menu/research/name/regenerating_extractor_lvl_2;Improved Mycelium Extractor;;;;Verbesserter Myzel-Extraktor;;;改进型菌丝体提取器;;
gui/menu/research/name/regenerating_extractor_lvl_3;Optimized Mycelium Extractor;;;;Optimierter Myzel-Extraktor;;;优化菌丝体提取器;;
gui/menu/research/name/repair_central;Repair Central;;;;Reparaturzentrale;;;维修中心;;
gui/menu/research/name/resin_factory_lvl_1;Synthetic Resin Plant;;;;Kunstharzfabrik;;;树脂工厂;;
gui/menu/research/name/resin_factory_lvl_2;Improved Synthetic Resin Plant;;;;Verbesserte Kunstharzfabrik;;;改进树脂工厂;;
gui/menu/research/name/resin_factory_lvl_3;Optimized Synthetic Resin Plant;;;;Optimierte Kunstharzfabrik;;;先进树脂工厂;;
gui/menu/research/name/resource_converter_cobalt;Metallic Morphing - Cobalt;;;;Metallische Umwandlung – Kobalt;;;金属转化 - 钴;;
gui/menu/research/name/resource_converter_palladium;Metallic Morphing - Palladium;;;;Metallische Umwandlung – Palladium;;;金属转化 - 钯;;
gui/menu/research/name/resource_converter_titanium;Metallic Morphing - Titanium;;;;Metallische Umwandlung – Titan;;;金属转化 - 钛;;
gui/menu/research/name/resource_converter_uranium;Metallic Morphing - Enriched Uranium;;;;Metallische Umwandlung – angereichertes Uran;;;金属转化 - 浓缩铀;;
gui/menu/research/name/resource_converter_uranium_depleted;Metallic Morphing - Depleted Uranium;;;;Metallische Umwandlung – abgereichertes Uran;;;金属转化 - 贫铀;;
gui/menu/research/name/rtg;Radioisotope Thermoelectric Generators;;;;Radioisotop-Thermoelektrische Generatoren;;;放射性同位素热电发电机;;
gui/menu/research/name/rtg_lvl2;Cooled Radioisotope Thermoelectric Generator;;;;Gekühlter Radioisotop-Thermoelektrischer Generator;;;冷却型放射性同位素热电发电机;;
gui/menu/research/name/rtg_lvl3;Optimized Radioisotope Thermoelectric Generator;;;;Optimierter Radioisotop-Thermoelektrischer Generator;;;优化型放射性同位素热电发电机;;
gui/menu/research/name/solar_energy_lvl_1;Solar Energy;;;;Solarenergie;;;太阳能;;
gui/menu/research/name/solar_energy_lvl_2;Solar Energy 2;;;;Solarenergie 2;;;太阳能2;;
gui/menu/research/name/solar_energy_lvl_3;Solar Energy 3;;;;Solarenergie 3;;;太阳能3;;
gui/menu/research/name/solid_material_storage_underground;Underground Storage;;;;Unterirdischer Lagerraum;;;地下仓库;;
gui/menu/research/name/supercooling_lvl_2;Water-Based Super Coolant;;;;Wasserbasiertes Superkühlmittel;;;水基超级冷却剂;;
gui/menu/research/name/supercooling_lvl_3;Infused Super Coolant;;;;Angereichertes Superkühlmittel;;;注入式超级冷却剂;;
gui/menu/research/name/tower_artillery_napalm;Incendiary Artillery;;;;Brandartillerie;;;燃烧炮;;
gui/menu/research/name/tower_cannon_acid;90mm Gun Tower - Acidic Rounds;;;;90-mm-Geschützturm – Säuregeschosse;;;90毫米炮塔 - 酸性弹药;;
gui/menu/research/name/tower_cannon_cooled;90mm Gun Tower - Cooled;;;;90-mm-Geschützturm – gekühlt;;;90毫米炮塔 - 冷却型;;
gui/menu/research/name/tower_cannon_cooled_lvl_2;90mm Gun Tower – Super-cooled;;;;90-mm-Geschützturm – supergekühlt;;;90毫米炮塔 - 超级冷却型;;
gui/menu/research/name/tower_cannon_cryo;90mm Gun Tower - Cryo Rounds;;;;90-mm-Geschützturm – Kryogeschosse;;;90毫米炮塔 - 冷冻弹药;;
gui/menu/research/name/tower_cannon_incindiary;90mm Gun Tower – Incendiary Rounds;;;;90-mm-Geschützturm – Brandgeschosse;;;90毫米炮塔 - 燃烧弹药;;
gui/menu/research/name/tower_cannon_lvl_2;90mm Gun Tower - Advanced;;;;90-mm-Geschützturm – fortgeschritten;;;90毫米炮塔 - 高级;;
gui/menu/research/name/tower_cannon_lvl_3;90mm Gun Tower - Extreme;;;;90-mm-Geschützturm – extrem;;;90毫米炮塔 - 极致;;
gui/menu/research/name/tower_flamer_cryo_lvl_1;Cryo Atomizer Tower;;;;Kryo-Zerstäuberturm;;;低温雾化塔;;
gui/menu/research/name/tower_flamer_cryo_lvl_2;Cryo Atomizer Tower;;;;Kryo-Zerstäubungsturm;;;低温雾化塔;;
gui/menu/research/name/tower_flamer_cryo_lvl_3;Cryo Atomizer Tower (Large);;;;Kryo-Zerstäubungsturm (groß);;;低温雾化塔(大型);;
gui/menu/research/name/tower_hcm_acid_lvl_2;HCM Tower Acid Warhead;;;;HCM-Turm mit Säuresprengkopf;;;HCM塔 酸性弹头;;
gui/menu/research/name/tower_hcm_acid_lvl_3;HCM Tower Advanced Acid Warhead;;;;HCM-Turm mit fortschrittlichem Säuresprengkopf;;;HCM塔 高级酸性弹头;;
gui/menu/research/name/tower_hcm_cryo_lvl_2;HCM Tower Cryo Warhead;;;;HCM-Turm mit Kryo-Sprengkopf;;;HCM塔 低温弹头;;
gui/menu/research/name/tower_hcm_cryo_lvl_3;HCM Tower Advanced Cryo Warhead;;;;HCM-Turm mit fortschrittlichem Kryo-Sprengkopf;;;HCM塔 高级低温弹头;;
gui/menu/research/name/tower_ice_big;Landlocked Piercer Tower Variant;;;;Variante des Landlocked-Piercer-Turms;;;陆上穿刺塔变体;;
gui/menu/research/name/tower_ice_big_lvl_2;Advanced Piercer Tower;;;;Fortschrittlicher Piercer-Turm;;;高级穿刺塔;;
gui/menu/research/name/tower_ice_big_lvl_3;Optimized Piercer Tower;;;;Optimierter Piercer-Turm;;;优化穿刺塔;;
gui/menu/research/name/tower_water_minigun;Environmental Cooled Defense Platforms;;;;Umgebungskühlte Verteidigungsplattformen;;;环境冷却防御平台;;
gui/menu/research/name/towers_artillery_acid;Acidic Artillery;;;;Säureartillerie;;;酸性炮;;
gui/menu/research/name/towers_artillery_propelled;Propelled Artillery;;;;Geschossartillerie;;;推进式炮;;
gui/menu/research/name/towers_artillery_propelled_lvl_2;Propelled Artillery - Advanced;;;;Geschossartillerie – Fortgeschritten;;;推进式炮 - 高级;;
gui/menu/research/name/towers_cryo_spitter_lvl2;Cryo Spewer Tower ;;;;Kryo-Speierturm ;;;低温喷射塔;;
gui/menu/research/name/towers_cryo_spitter_lvl3;Large Cryo Spewer Tower ;;;;Großer Kryo-Speier-Turm ;;;大型低温喷射塔;;
gui/menu/research/name/towers_drone_attack_lvl2_explosive;Attack Drone Tower (Rockets);;;;Angriffsdrohnen-Turm (Raketen);;;攻击无人机塔（火箭）;;
gui/menu/research/name/towers_drone_attack_lvl2_fire;Attack Drone Tower (Incendiary);;;;Angriffsdrohnen-Turm (Brand);;;攻击无人机塔（燃烧）;;
gui/menu/research/name/towers_drone_attack_lvl3_cryo;Attack Drone Tower (Cryo);;;;Angriffsdrohnen-Turm (Kryo);;;攻击无人机塔（冷冻）;;
gui/menu/research/name/towers_drone_attack_lvl3_energy;Attack Drone Tower (Lightning);;;;Angriffsdrohnen-Turm (Blitz);;;攻击无人机塔（闪电）;;
gui/menu/research/name/towers_fire_spitter_lvl2;Napalm Spewer Tower;;;;Napalm-Speier-Turm;;;凝固汽油喷射塔;;
gui/menu/research/name/towers_fire_spitter_lvl3;Large Napalm Spewer Tower;;;;Großer Napalm-Speier-Turm;;;大型凝固汽油喷射塔;;
gui/menu/research/name/towers_laser_water;Laser Tower Platforms;;;;Laser-Turmplattformen;;;激光塔平台;;
gui/menu/research/name/towers_lowcaliber;Low Caliber Towers;;;;Türme mit geringem Kaliber;;;小口径塔;;
gui/menu/research/name/towers_mines_lvl1;Mining Towers 1;;;;Bergbau-Türme 1;;;布雷塔1级;;
gui/menu/research/name/towers_mines_lvl2;Mining Towers 2;;;;Bergbau-Türme 2;;;布雷塔2级;;
gui/menu/research/name/towers_mines_lvl3;Mining Towers 3;;;;Bergbau-Türme 3;;;布雷塔3级;;
gui/menu/research/name/towers_rocket;Rocket Towers;;;;Raketen-Türme;;;火箭塔;;
gui/menu/research/name/towers_rocket_lvl_2;Rocket Towers 2;;;;Raketentürme 2;;;火箭塔2级;;
gui/menu/research/name/towers_rocket_lvl_3;Rocket Towers 3;;;;Raketentürme 3;;;火箭塔3级;;
gui/menu/research/name/towers_shockwave_acid;Shockwave Towers - Acid;;;;Schockwellentürme – Säure;;;冲击波塔 - 酸性;;
gui/menu/research/name/towers_shockwave_acid_lvl_2;Advanced Shockwave Towers - Acid;;;;Fortgeschrittene Schockwellentürme – Säure;;;高级冲击波塔 - 酸性;;
gui/menu/research/name/towers_shockwave_cryo;Shockwave Towers - Cryo;;;;Schockwellentürme – Kryo;;;冲击波塔 - 冷冻;;
gui/menu/research/name/towers_shockwave_cryo_lvl_2;Advanced Shockwave Towers - Cryo;;;;Fortgeschrittene Schockwellentürme – Kryo;;;高级冲击波塔 - 冷冻;;
gui/menu/research/name/uranium_enrichment_lvl_2;Enhanced Uranium Enrichment;;;;Verbesserte Urananreicherung;;;增强型铀浓缩;;
gui/menu/research/name/uranium_enrichment_lvl_3;Morphing Uranium Enrichment;;;;Morphing-Urananreicherung;;;转化铀浓缩;;
gui/menu/research/name/water_purification_lvl_1;Water Purification;;;;;;;;;
gui/menu/research/name/water_purification_lvl_2;Water Purification 2;;;;;;;;;
gui/menu/research/name/water_purification_lvl_3;Water Purification 3;;;;;;;;;
gui/menu/research/name/well_contruction;Well Construction;;;;Brunnenbau;;;井建造;;
gui/menu/research/name/well_contruction_lvl_2;Well Construction 2;;;;Brunnenbau 2;;;井建造2级;;
gui/menu/research/name/well_contruction_lvl_3;Well Construction 3;;;;Brunnenbau 3;;;井建造3级;;
gui/menu/research/name/wind_energy_lvl_1;Wind Energy;;;;Windenergie;;;风能;;
gui/menu/research/name/wind_energy_lvl_2;Wind Energy 2;;;;Windenergie 2;;;风能2;;
gui/menu/research/name/wind_energy_lvl_3;Wind Energy 3;;;;Windenergie 3;;;风能3;;
resource_name/alloys;Alloys;;;;Legierungen;;;合金;;
resource_name/ammonium;Ammonium;;;;Ammonium;;;铵;;
resource_name/ammonium_deepvein;Ammonium deep vein;;;;Tiefe Ammoniumader;;;深层铵矿脉;;
resource_name/ammonium_vein;Ammonium Deposit;;;;Ammoniumvorkommen;;;铵矿床;;
resource_name/biomass_morphed;Morphed Biomass;;;;Morphed-Biomasse;;;变异生物质;;
resource_name/biomass_mycelium;Mycelium;;;;Myzel;;;菌丝体;;
resource_name/biomass_water;Biooil;;;;Bioöl;;;生物油;;
resource_name/carbon_deepvein;Carbonium vein;;;;Carboniumader;;;深层碳矿脉;;
resource_name/carbon_vein;Carbonium outcrop;;;;Carboniumaufschluss;;;露天碳矿;;
resource_name/cobalt_bio;Bio-Cobalt;;;;Bio-Kobalt;;;生物钴;;
resource_name/cobalt_deepvein;Cobalt deep vein;;;;Tiefe Kobaltader;;;深层钴矿脉;;
resource_name/cobalt_vein;Cobalt outcrop;;;;Kobalt-Aufschluss;;;露天钴矿;;
resource_name/deuterium;Deuterium;;;;Deuterium;;;氘;;
resource_name/deuterium_compressed;Liquid Deuterium;;;;Flüssiges Deuterium;;;液态氘;;
resource_name/deuterium_deepvein;Deuterium Well;;;;Deuteriumbrunnen;;;氘井;;
resource_name/fissonium;Fissonium Flux;;;;Fissonium-Fluss;;;裂变流体;;
resource_name/fissonium_compressed;Packaged Fissonium Flux;;;;Verpackter Fissonium-Fluss;;;;;
resource_name/fissonium_deepvein;Fissonium Well;;;;Fissoniumbrunnen;;;裂变井;;
resource_name/fluorine;Fluorine;;;;Fluor;;;氟;;
resource_name/fluorine_compressed;Liquid Fluorine;;;;Flüssiges Fluor;;;液态氟;;
resource_name/fluorine_deepvein;Fluorine Vent;;;;Fluor-Entlüftung;;;氟气喷口;;
resource_name/iron_deepvein;Ironium vein;;;;Ironium-Ader;;;深层铁矿脉;;
resource_name/iron_vein;Ironium outcrop;;;;Ironium-Aufschluss;;;露天铁矿;;
resource_name/magma_deepvein;Magma well;;;;Magma-Quelle;;;岩浆井;;
resource_name/magma_metal;Molten Metal;;;;Geschmolzenes Metall;;;熔融金属;;
resource_name/magma_metal_compressed;Compressed Molten Metal;;;;Komprimiertes geschmolzenes Metall;;;压缩熔融金属;;
resource_name/magma_metal_deepvein;Molten Metal Well;;;;Geschmolzenes Metall-Quelle;;;熔融金属井;;
resource_name/morphium_deepvein;Morphium well;;;;Morphium-Quelle;;;形变液井;;
resource_name/mud_deepvein;Mud well;;;;Schlamm-Quelle;;;泥浆井;;
resource_name/nitric_acid;Nitric Acid;;;;Salpetersäure;;;硝酸;;
resource_name/nitric_acid_compressed;Packaged N.Acid;;;;Verpackte Salpetersäure;;;包装硝酸;;
